date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:40	24/24	---M--	200	added ('OK')	text/plain	etag:%2266e29e24-18%22	https://www.topgearmag.in/robots.txt		(from )
14:48:41	81015/81015	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2009:18:40%20GMT	https://www.topgearmag.in/	D:/CAR_bike/CARBIKE/www.topgearmag.in/index.html	(from )
14:48:41	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	D:/CAR_bike/CARBIKE/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://www.topgearmag.in/)
14:48:42	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	D:/CAR_bike/CARBIKE/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from https://www.topgearmag.in/)
14:48:42	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	D:/CAR_bike/CARBIKE/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://www.topgearmag.in/)
14:48:42	29467/29467	---M--	200	added ('OK')	text/css	etag:%2266f11389-731b%22	https://www.topgearmag.in/assets/css/style.css	D:/CAR_bike/CARBIKE/www.topgearmag.in/assets/css/style.css	(from https://www.topgearmag.in/)
14:48:42	6603/6603	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Oct%202024%2009:18:42%20GMT	https://www.topgearmag.in/assets/img/favicon.ico	D:/CAR_bike/CARBIKE/www.topgearmag.in/assets/img/favicon.ico	(from https://www.topgearmag.in/)
14:48:42	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2266e29e23-3aee%22	https://www.topgearmag.in/assets/imgs/favicon.ico	D:/CAR_bike/CARBIKE/www.topgearmag.in/assets/imgs/favicon.ico	(from https://www.topgearmag.in/)
14:48:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2012%20Oct%202024%2009:18:43%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/CAR_bike/CARBIKE/www.googletagmanager.com/gtm.65445.delayed	(from https://www.topgearmag.in/)
14:48:43	197909/197909	---M--	200	added ('OK')	image/jpeg	etag:%2266e2c512-30515%22	https://www.topgearmag.in/uploads/imgs/tgif-banner.jpg	D:/CAR_bike/CARBIKE/www.topgearmag.in/uploads/imgs/tgif-banner.jpg	(from https://www.topgearmag.in/)
14:48:44	55858/55858	---M--	200	added ('OK')	image/png	etag:%2266e29e23-da32%22	https://www.topgearmag.in/assets/imgs/large-gear.png	D:/CAR_bike/CARBIKE/www.topgearmag.in/assets/imgs/large-gear.png	(from https://www.topgearmag.in/)
